Transaction_ID,Customer_ID,Transaction_Date,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Amount,Payment_Method,City,Device_Type,Customer_Rating
T00001,C041,2026-02-27,P113,Coffee Maker,Home Appliances,1,4200,4200,UPI,Kolkata,Mobile,5
T00002,C028,2026-03-01,P102,Wireless Mouse,Electronics,3,1200,3600,Cash on Delivery,Hyderabad,Tablet,2
T00003,C046,2026-04-18,P109,Backpack,Accessories,1,1800,1800,Net Banking,Tadepalligudem,Laptop,1
T00004,C049,2026-04-19,P112,Jeans,Fashion,2,1800,3600,Debit Card,Visakhapatnam,Mobile,3
T00005,C007,2026-08-05,P103,Keyboard,Electronics,2,1800,3600,Cash on Delivery,Bengaluru,Mobile,4
T00006,C035,2026-05-22,P110,Running Shoes,Fashion,2,3500,7000,Cash on Delivery,Mumbai,Tablet,2
T00007,C046,2026-01-21,P105,Earphones,Electronics,1,1500,1500,UPI,Pune,Laptop,4
T00008,C041,2026-04-05,P103,Keyboard,Electronics,2,1800,3600,Credit Card,Bengaluru,Tablet,1
T00009,C039,2026-07-06,P109,Backpack,Accessories,1,1800,1800,Credit Card,Delhi,Laptop,3
T00010,C041,2026-06-25,P104,Smartphone,Electronics,2,25000,50000,UPI,Chennai,Mobile,3
T00011,C026,2026-08-13,P106,Smart Watch,Electronics,3,4500,13500,Debit Card,Chennai,Tablet,4
T00012,C026,2026-04-28,P111,T-Shirt,Fashion,1,900,900,Debit Card,Visakhapatnam,Mobile,5
T00013,C035,2026-04-03,P111,T-Shirt,Fashion,1,900,900,Credit Card,Kolkata,Laptop,1
T00014,C049,2026-06-10,P102,Wireless Mouse,Electronics,1,1200,1200,Net Banking,Tadepalligudem,Mobile,4
T00015,C025,2026-05-16,P108,USB Cable,Accessories,2,500,1000,Cash on Delivery,Hyderabad,Tablet,1
T00016,C044,2026-03-10,P113,Coffee Maker,Home Appliances,3,4200,12600,Debit Card,Vijayawada,Laptop,4
T00017,C011,2026-08-13,P112,Jeans,Fashion,3,1800,5400,Debit Card,Kolkata,Mobile,5
T00018,C007,2026-08-04,P105,Earphones,Electronics,3,1500,4500,Cash on Delivery,Tadepalligudem,Mobile,2
T00019,C024,2026-07-19,P109,Backpack,Accessories,3,1800,5400,UPI,Tadepalligudem,Laptop,4
T00020,C002,2026-03-03,P114,Electric Kettle,Home Appliances,1,2200,2200,Credit Card,Tadepalligudem,Mobile,1
T00021,C047,2026-07-14,P102,Wireless Mouse,Electronics,3,1200,3600,Credit Card,Visakhapatnam,Tablet,4
T00022,C036,2026-08-26,P110,Running Shoes,Fashion,3,3500,10500,Credit Card,Bengaluru,Laptop,3
T00023,C029,2026-01-31,P108,USB Cable,Accessories,1,500,500,Credit Card,Vijayawada,Laptop,1
T00024,C038,2026-02-26,P110,Running Shoes,Fashion,1,3500,3500,UPI,Hyderabad,Mobile,1
T00025,C003,2026-05-12,P102,Wireless Mouse,Electronics,1,1200,1200,Debit Card,Delhi,Mobile,5
T00026,C009,2026-05-27,P115,Bluetooth Speaker,Electronics,3,3000,9000,Net Banking,Chennai,Laptop,4
T00027,C013,2026-04-19,P111,T-Shirt,Fashion,2,900,1800,Net Banking,Hyderabad,Tablet,1
